retaliation  - represiq
retaliate    - represiram
perceived    - vuzpriemam, useshtam
kickbacks    - rushveti
strive		 - stremq se
obfuscated   - zavoalira
inducement   - podbuda, stimul
compliance   - suotvetsvie, suglasie
represent    - predstavlqvat
substitute   - zamestitel
encourage    - nasurchavam
stunning     - zashemetqvasht
utilize      - upotrebqvam, izpolzvam
smoothly     - gladko
contribute   - sutrudnichestvo
stakeholders - zainteresovanite strani
adopting     - priemane
cooperation  - sutrudnichestvo
conscious    - v suznanie
segregation  - razdelqne
pitch	     - zatvzepvam
collaboration - sutrudnichestvo
fraud        - izmama
outage       - prekusvane
concern	     - zagrijenost
artifacts    - produkt
invigorate   - priqten
sheer pace   - otvestni tempove
utility	     - poleznosts
consolidate  - ukrepvam, zatvurjdavam
throughout   - prez
revenue      - prihod
funding      - finansiram
exceeding    - previshavasht, nadminavasht
collateral   - dopulnitelna garanziq
comprise     - vkliuchvam, sudurjam
sparked      - podpalva
alter        - promenqm
eager	     - neturpeliv
allegations  - tvurdenie
vignette     - vinetka, skiza
mature	     - zrql
substantially - znachitelno
provision    - osigurqvane
simultaneously - ednovremenno
workload     - natovarenost
services     - uslugi
pursue       - presledvam
substantial  - sushtestven
designate    - oboznachavane
achievement  - postigenie
deviations   - otkloneniq
implies      - predlagam, sudurjam
predecessors - predshestvenizi
possess      - pritejavam, imam
enticing     - privlekatelen
expence	     - razhod
boundaries   - granizi
defy	     - predizvikvam
among        - sred
revenue      - razhod
expenses     - prihodi
hazard       - risk
spin off     - vurti
utulity      - poleznost
curb	     - ogranichavam
enforced     - izpulneno
requisition  - zaqvka, oficialno iskane
rigorous     - strog
designation  - oboznachavane
allegations  - tvurdeanie, zaqvlenie
misconduct   - narushenie
labor        - trud, rabotna sreda
goods	     - stoki, artikuli
revise	     - preglejdam, proverqvam
precedence   - predimstvo
acknowledged - priznavam, potvurjdavam, priemam
conduct      - rukovodene, provejdane
accurate     - tochen, prezizen
exageration  - preuvelichenie
unsubstantiated - nedokazan
adverse      - vreden
timescales   - srokove
bundle	     - paket, vurzop
discrete     - otdelen, obosoben
occurred     - nastupili
intention    - namerenie
intended     - prednaznacheno, vuznamerqvam
deviation    - otklonenie
anticipate   - ochakvam
appliance    - prisposoblenie
threshold    - prag
dispose      - razpolagan
objective    - zeli, obekt
suspend      - ochakvam
delegate     - izprashtam
impropriety  - neumestno
policy	     - politika
devastation  - opustoshenie
surroundings - zaobikalqshtata sreda
obey	     - podchinqvam se
retaining    - zapazvam
attendance   - poseshtaemost
attend       - poseshtavam
recipient    - poluchatel
frequently   - chesto
amenity	     - vejlivost
treshold     - prag
merits	     - zasligi
intimidating - smushtavashta
immense	     - ogromnata
inability    - nesposobnost
enforcement  - izpulnenie
held         - zadurjam
matter 	     - znachenie
applicant    - kandidat
hostile	     - vrajdeben
pertaining   - prinadleji, spadat
disposal     - razpolojenie, izhvurlqne
hazard       - risk
handling     - boravene
accordance   - suotvetstvie, suglasie
enhance      - uvelichavam
possess      - pritejavam
reuse        - povtorna upotreba
breach       - narushenie
consist      - sustoi se
solely       - edinstveno
propel       - zadvijvam, tlaskam
bias         - otklonenie, naklon
reliance     - razchitane
comply       - suobrzqvam se, suglasqvam se
shareholders - akzioner
disposal     - izhvurlqne, razporejdane
excessive    - prekomeren
sequentially - posledovatelno
obscures     - zamuglqva
obscure      - neqsen
underlying   - sushtestven
substantial  - sushtestven
dangling     - visqshti
subsequent   - posledvasht
essential    - sushtestven 
precedence   - predimstvo
aggregation  - suvkupnost, subirane
utilize	     - izpolzvam
emphasizing  - podchertavam
variety of avenues - raznoobrazie ot vuzmojnosti
undue        - neopravdan
influence    - vliqnie
solicit      - prosq
reclaim      - vuzvurnat
designate    - oboznachavane
diligence    - usurdie
diminish     - namalee
submission   - podavane
induce       - induzira
invoked      - prizovavam, zova, molq
complaining  - oplakvam se
deductibility - prispadane
judgement    - reshenie
inspire      - vduhnovqvat
attend       - poseshtavam
attendees    - prisustvashti
liable       - otgovoren
reimbursed   - vustsanovqvam
alleviates   - oblekachava 
assets       - aktivi
spread       - razprostranqvam
milestone    - vajno subitie
incentives   - stimuli, pooshtrenie
constraints  - ogranicheniq
govern       - upravlqvam
remit        - kompetentnost
comit        - davam, angajiram
incur        - ponqsqm, navlicham si
embrace      - pregrudka
absorb       - popivam
concise	     - sbit
acquire      - pridobie
charities    - blagotvoritelni organizatzii
avenue       - put
underway     - v hod
significantly - znachitelno
conceivably  - eventualno
consequence  - vposledstvie
subsequently - vposledstvie
shattered    - razbivam
leaked		 - iztekla
estimation   - ozenqvanes
latitude	 - geografska shirina
grooming 	 - podstrigvane
longitude	 - duljina
tube		 - metro
spending	 - prekarvam
to consider	 - schitam
at college	 - s kolega
i'm going    - vuznamerqvam
i'd like	 - bih iskal
apprenticeship - staj, chirakuvane
i'd perhaps like to do a work placement abbroad
work placement - rabotno mqsto
retail business manager - menudjur po ofis komunikazii
assistant	 - asistent
policies     - pravila, politiki
outweigh	 - naddeleqt, prevuzhojdat
labelling	 - klasifiziram, naricham
currency	 - valuta
matter		 - vupros, znachenie
make laws	 - suzdava zakoni
terrorism	 - terorizum
curry	 	 - qstie, kuri
my reason for saying that is
features	 - harakteristika
prerequisite - predpostavka
enterpreneur - predpriemach
leave		 - otpuska
approximately - priblizitelno











